sqft,bhk,bath,price
-0.60708777,-0.567776643,-0.483601552,39.07
-0.064418014,0.47275946,-0.483601552,62
0.050051388,0.47275946,0.519485095,95
-0.403586611,-0.567776643,-0.483601552,51
1.761439603,1.513295563,1.522571742,204
2.564138617,1.513295563,1.522571742,600
1.836339335,1.513295563,2.525658389,295
-0.686227109,-0.567776643,-0.483601552,38
-0.54490686,-0.567776643,-0.483601552,40
1.080276003,0.47275946,0.519485095,148
-0.438916674,-0.567776643,-0.483601552,73.5
-0.431850661,0.47275946,0.519485095,48
1.815141298,0.47275946,1.522571742,290
-1.251508105,-1.608312746,-1.486688199,15
0.380740771,0.47275946,0.519485095,122
1.857537372,1.513295563,2.525658389,380
0.3976992,0.47275946,0.519485095,103
-1.378696329,-1.608312746,-1.486688199,25.25
0.17582641,0.47275946,0.519485095,81
-0.472833533,-0.567776643,-0.483601552,48.77
-0.650897047,0.47275946,-0.483601552,47
1.398246563,1.513295563,1.522571742,186
0.387806783,0.47275946,-0.483601552,123
0.620985194,0.47275946,0.519485095,125
0.336931493,0.47275946,0.519485095,125
-0.484139153,-0.567776643,-0.483601552,45
-0.267919172,-0.567776643,-0.483601552,81
-1.251508105,-1.608312746,-1.486688199,38
-1.166715956,-1.608312746,-1.486688199,48
-0.218824518,-0.567776643,-0.483601552,91.79
-0.728623184,-0.567776643,-0.483601552,33
-0.037567166,-0.567776643,-0.483601552,94.82
-0.968867607,-0.567776643,-1.486688199,130
-0.424784649,-0.567776643,-0.483601552,75
-0.403586611,-0.567776643,-0.483601552,44
2.436950393,1.513295563,1.522571742,192
0.020374136,-0.567776643,-0.483601552,185
-0.905273495,-0.567776643,-0.483601552,55
-0.460114711,-0.567776643,-0.483601552,44
2.14017787,5.675439975,5.53491833,140
-0.54490686,-0.567776643,-0.483601552,62
-0.488378761,-0.567776643,-0.483601552,43
-0.375322561,-0.567776643,-0.483601552,57
-0.180300618,-0.567776643,-0.483601552,80.58
0.117885107,0.47275946,0.519485095,101
-0.347058512,-0.567776643,-0.483601552,70
0.852750402,0.47275946,0.519485095,140
-0.395107396,-0.567776643,-0.483601552,48.23
-0.474246736,-0.567776643,-0.483601552,40
1.449121853,0.47275946,0.519485095,205
4.118661356,3.594367769,3.528745036,250
0.246486534,0.47275946,-0.483601552,105
2.427764577,1.513295563,1.522571742,224.5
-0.225523098,-0.567776643,-0.483601552,78
-0.2269363,0.47275946,-0.483601552,60.8
2.14017787,3.594367769,4.531831683,210
-1.098882236,-0.567776643,-0.483601552,37
-0.60143496,-0.567776643,-0.483601552,58.06
-0.686227109,-0.567776643,-0.483601552,70
-0.403586611,1.513295563,1.522571742,155
-0.267919172,-0.567776643,-0.483601552,80
0.076902235,0.47275946,0.519485095,90
1.990378407,1.513295563,1.522571742,245
